N,N_UNIQUE,DURATION_NS,DURATION_OVER_N_LOGN,ALGORITHM_TYPE,ALGORITHM_NAME
891,589,1111030,183,SORTING ALGORITHM,MERGE SORT
891,841,1067161,176,SORTING ALGORITHM,MERGE SORT
891,887,1111984,183,SORTING ALGORITHM,MERGE SORT
891,891,1105785,182,SORTING ALGORITHM,MERGE SORT
891,891,1108884,183,SORTING ALGORITHM,MERGE SORT
891,891,1132011,187,SORTING ALGORITHM,MERGE SORT
1000,11,1525878,220,SORTING ALGORITHM,MERGE SORT
1000,101,1376867,199,SORTING ALGORITHM,MERGE SORT
1000,634,1216650,176,SORTING ALGORITHM,MERGE SORT
1000,952,1233816,178,SORTING ALGORITHM,MERGE SORT
1000,995,1248121,180,SORTING ALGORITHM,MERGE SORT
1000,1000,1224279,177,SORTING ALGORITHM,MERGE SORT
1000,1000,1343965,194,SORTING ALGORITHM,MERGE SORT
1000,1000,1292943,187,SORTING ALGORITHM,MERGE SORT
1122,11,1650810,209,SORTING ALGORITHM,MERGE SORT
1122,101,1496791,189,SORTING ALGORITHM,MERGE SORT
1122,677,1438856,182,SORTING ALGORITHM,MERGE SORT
1122,1063,1487970,188,SORTING ALGORITHM,MERGE SORT
1122,1111,1419067,180,SORTING ALGORITHM,MERGE SORT
1122,1122,1437187,182,SORTING ALGORITHM,MERGE SORT
1122,1122,1708984,216,SORTING ALGORITHM,MERGE SORT
1122,1122,1447200,183,SORTING ALGORITHM,MERGE SORT
1258,11,1913070,213,SORTING ALGORITHM,MERGE SORT
1258,101,1846075,205,SORTING ALGORITHM,MERGE SORT
1258,712,1694917,188,SORTING ALGORITHM,MERGE SORT
1258,1193,2180099,242,SORTING ALGORITHM,MERGE SORT
1258,1246,1568078,174,SORTING ALGORITHM,MERGE SORT
1258,1257,1636743,182,SORTING ALGORITHM,MERGE SORT
1258,1258,1566886,174,SORTING ALGORITHM,MERGE SORT
1258,1258,1661062,185,SORTING ALGORITHM,MERGE SORT
1412,11,2071142,202,SORTING ALGORITHM,MERGE SORT
1412,101,1917123,187,SORTING ALGORITHM,MERGE SORT
1412,760,1871109,182,SORTING ALGORITHM,MERGE SORT
1412,1311,1729965,168,SORTING ALGORITHM,MERGE SORT
1412,1403,1754045,171,SORTING ALGORITHM,MERGE SORT
1412,1412,1749992,170,SORTING ALGORITHM,MERGE SORT
1412,1412,1763105,172,SORTING ALGORITHM,MERGE SORT
1412,1412,1703977,166,SORTING ALGORITHM,MERGE SORT
1584,11,2414941,206,SORTING ALGORITHM,MERGE SORT
1584,101,2135992,183,SORTING ALGORITHM,MERGE SORT
1584,797,1968860,168,SORTING ALGORITHM,MERGE SORT
1584,1444,1977920,169,SORTING ALGORITHM,MERGE SORT
1584,1574,1917123,164,SORTING ALGORITHM,MERGE SORT
1584,1582,1958131,167,SORTING ALGORITHM,MERGE SORT
1584,1584,2002000,171,SORTING ALGORITHM,MERGE SORT
1584,1584,1977205,169,SORTING ALGORITHM,MERGE SORT
1778,11,2737283,205,SORTING ALGORITHM,MERGE SORT
1778,101,2509117,188,SORTING ALGORITHM,MERGE SORT
1778,841,2359151,177,SORTING ALGORITHM,MERGE SORT
1778,1633,2295017,172,SORTING ALGORITHM,MERGE SORT
1778,1762,2274036,170,SORTING ALGORITHM,MERGE SORT
1778,1777,2441883,183,SORTING ALGORITHM,MERGE SORT
1778,1778,2180099,163,SORTING ALGORITHM,MERGE SORT
1778,1778,2266883,170,SORTING ALGORITHM,MERGE SORT
1995,11,3333806,219,SORTING ALGORITHM,MERGE SORT
1995,101,2783060,183,SORTING ALGORITHM,MERGE SORT
1995,869,2683162,177,SORTING ALGORITHM,MERGE SORT
1995,1818,2618074,172,SORTING ALGORITHM,MERGE SORT
1995,1976,2656936,175,SORTING ALGORITHM,MERGE SORT
1995,1993,2614974,172,SORTING ALGORITHM,MERGE SORT
1995,1995,2666950,175,SORTING ALGORITHM,MERGE SORT
1995,1995,2766847,182,SORTING ALGORITHM,MERGE SORT
2238,11,3753900,217,SORTING ALGORITHM,MERGE SORT
2238,101,3082036,178,SORTING ALGORITHM,MERGE SORT
2238,894,3066062,177,SORTING ALGORITHM,MERGE SORT
2238,2000,2952814,171,SORTING ALGORITHM,MERGE SORT
2238,2214,2948999,170,SORTING ALGORITHM,MERGE SORT
2238,2235,2961158,171,SORTING ALGORITHM,MERGE SORT
2238,2238,2992868,173,SORTING ALGORITHM,MERGE SORT
2238,2238,3036975,175,SORTING ALGORITHM,MERGE SORT
2511,11,4426002,225,SORTING ALGORITHM,MERGE SORT
2511,101,3399848,172,SORTING ALGORITHM,MERGE SORT
2511,917,3360986,170,SORTING ALGORITHM,MERGE SORT
2511,2236,3206014,163,SORTING ALGORITHM,MERGE SORT
2511,2484,3285169,167,SORTING ALGORITHM,MERGE SORT
2511,2510,3320932,168,SORTING ALGORITHM,MERGE SORT
2511,2511,3366231,171,SORTING ALGORITHM,MERGE SORT
